,hotel,price,period,owner,city,rate
49,Cave with garden at Sacromonte,‎SR206‎,‎‎  ليلة,,Realejo - San Matias · غرناطة,4.71
50,Treehouse at Kilauea Volcano,"‎SR1,121‎",‎‎  ليلة,مضيف متميز,جزيرة هاواي · فولكانو,4.92
51,Luxury Gold Coast Hinterland Villa,‎SR600‎,‎‎  ليلة,مضيف متميز,Mount Nathan,4.88
52,The house among olive trees,‎SR581‎,‎‎  ليلة,مضيف متميز,Bellegra,4.95
53,Amazing view - Moderne apartment,‎SR585‎,‎‎  ليلة,مضيف متميز,أكوريري,4.75
54,Stylish house close to river thames,‎SR315‎,‎‎  ليلة,,لندن بوروغ من هامرسميث وفولهام · لندن,4.87
55,apart.terrace overlooking the river,‎SR116‎,‎‎  ليلة,مضيف متميز,بوسا,4.79
56,A quiet yurt  in Savoie - Bauges,‎SR311‎,‎‎  ليلة,,Bellecombe-en-Bauges,4.66
57,STUDIO 52. PRÉDIO FAMOSO CENTRO SP,‎SR98‎,‎‎  ليلة,,Santa Efigênia · ساو باولو,4.81
58,The World Famous Seashell House ~ Casa Caracol,"‎SR1,144‎",‎‎  ليلة,مضيف متميز,جزرة موخيريس,4.76
59,CASA NA ÁRVORE nas montanhas (Monte Verde - MG),‎SR319‎,‎‎  ليلة,مضيف متميز,Monte Verde,4.91
60,Palazzo Cattolica Art-Apartment,‎SR334‎,‎‎  ليلة,مضيف متميز,باليرمو,4.81
61,"Douro Villa with swimming pool, Penafiel, Portugal","‎SR1,226‎",‎‎  ليلة,مضيف متميز,Penafiel,4.95
62,"180° VIEW, PRIVATE POOL VILLA..",‎SR671‎,‎‎  ليلة,مضيف متميز,بالي · Singaraja,4.93
63,LUXURY INDEPENDENT STUDIO on SHIP : free bikes!,‎SR563‎,‎‎  ليلة,مضيف متميز,أوست · أمستردام,4.89
64,PalacetedelVedado,"‎SR1,455‎",‎‎  ليلة,مضيف متميز,Vedado,4.91
65,N°1 in AVIGNON design quiet AC wifi citycenter,‎SR161‎,‎‎  ليلة,مضيف متميز,أفينيون,4.90
66,Super Cute Retro Airstream,‎SR506‎,‎‎  ليلة,مضيف متميز,ويمبرلي,4.92
67,"LA Pool, Privacy and Amazing Views!",‎SR563‎,‎‎  ليلة,مضيف متميز,ماونت واشنطن · لوس أنجلوس,4.96
68,"Private Studio in Sol, Madrid",‎SR278‎,‎‎  ليلة,,Sol · مدريد,4.74
69,The Cozy Palace,‎SR293‎,‎‎  ليلة,مضيف متميز,المدينة المنورة · مرّاكش,4.85
70,"YOUR PRIVATE 3 BEDR. RIAD, A PRIVATIZED RENTAL!",‎SR311‎,‎‎  ليلة,مضيف متميز,المدينة المنورة · مرّاكش,4.87
71,"Penthouse, 4-5 rooms + 5 balconies","‎SR1,039‎",‎‎  ليلة,مضيف متميز,نوربرو · كوبنهاغن,4.72
72,Lussuoso. Vista incantevole.,‎SR311‎,‎‎  ليلة,مضيف متميز,Riva,4.85
73,Designer Loft Bangkok Silom,‎SR296‎,‎‎  ليلة,مضيف متميز,سيلوم · بانكوك,4.68
74,Exceptional property private beach,‎SR296‎,‎‎  ليلة,,Governador Celso Ramos,4.73
75,Trullo del 1800 in Valle d'Itria,‎SR375‎,‎‎  ليلة,,"Cisternino, Brindisi",4.71
76,Green Oasis Bougainvillea in Casa,‎SR214‎,‎‎  ليلة,مضيف متميز,كازابلانكا,4.85
77,Private Family Love Villa4 close to 66Beach BALI,‎SR304‎,‎‎  ليلة,مضيف متميز,بالي · Legian,4.71
78,Airstream 'Glamping' in Andalucia!,‎SR266‎,‎‎  ليلة,مضيف متميز,Alozaina,4.86
79,"Villa Amonteera, Luxury with Fantastic Ocean Views","‎SR4,500‎",‎‎  ليلة,مضيف متميز,تشونغ ثال,4.83
80,Joshua Tree Homesteader Cabin,‎SR368‎,‎‎  ليلة,مضيف متميز,جوشوا تري,4.90
81,Romantic Cabana with view,‎SR150‎,‎‎  ليلة,مضيف متميز,أرمينيا,4.93
82,Leccio Apartment - Cimbolello,‎SR248‎,‎‎  ليلة,مضيف متميز,Città della Pieve,4.90
83,Coastal Maine Cottage,‎SR225‎,‎‎  ليلة,مضيف متميز,Surry,4.76
84,Amazing and Extremely Central Flat,‎SR79‎,‎‎  ليلة,مضيف متميز,كراكوف,4.88
85,Magical B & B by the Sea Havana,‎SR206‎,‎‎  ليلة,مضيف متميز,La Habana,4.78
86,**CENTRAL** Comfy Artist's Home in Camden.,‎SR341‎,‎‎  ليلة,مضيف متميز,الهيئة المحلية في كامدن · لندن,4.83
87,The Studio Villa Madella.,‎SR428‎,‎‎  ليلة,مضيف متميز,بالي · أوبود,4.88
88,Japan Charm&Tradition-Yui Valley(easy Tokyo/Kyoto),‎SR465‎,‎‎  ليلة,مضيف متميز,Fujieda,4.97
89,Amboise Troglodyte/Chez Hélène,‎SR334‎,‎‎  ليلة,مضيف متميز,Nazelles-Négron,4.90
90,Villa San Gennariello B&B,‎SR248‎,‎‎  ليلة,مضيف متميز,Portici,4.77
91,Bamboo eco cottage in rice fields,‎SR251‎,‎‎  ليلة,,بالي · أوبود,4.64
92,Underground Hygge,"‎SR1,013‎",‎‎  ليلة,مضيف متميز,Orondo ,4.87
93,"La Salentina, sea, nature & relax",‎SR203‎,‎‎  ليلة,مضيف متميز,Tricase,4.90
94,House in countryside (30 km dal mare),‎SR161‎,‎‎  ليلة,,Canicattì,4.81
95,The Joshua Tree House,"‎SR1,069‎",‎‎  ليلة,مضيف متميز,جوشوا تري,4.87
96,Adorable Garden Gingerbread House,‎SR656‎,‎‎  ليلة,مضيف متميز,Makawao · ماكاواو,4.88
97,Kealakekua Bay Bali Cottage -steps from Bay,‎SR656‎,‎‎  ليلة,مضيف متميز,Kailua/Kona · كابتين كوك,4.79
98,Trullo aromatic green,‎SR375‎,‎‎  ليلة,مضيف متميز,أوستوني,4.90
99,Luxurious stone villa in Crete,‎SR334‎,‎‎  ليلة,مضيف متميز,خانيا,4.93
100,City Penthouse in Central Cape Town,‎SR413‎,‎‎  ليلة,مضيف متميز,كيب تاون,4.80
101,White Breeze Pool 1BD Apartment,‎SR334‎,‎‎  ليلة,مضيف متميز,"Phuket, Thailand",4.66
102,'Silo Studio' Cottage,‎SR784‎,‎‎  ليلة,مضيف متميز,Tyringham,4.98
103,Radiant Apartment with Terrace in Roma Norte (1/4),‎SR296‎,‎‎  ليلة,مضيف متميز,Roma Norte · مكسيكو سيتي,4.81
104,Charming gardenroom with woodstove,‎SR225‎,‎‎  ليلة,,Ermelo,4.81
105,Grand and Cozy 1920's SF Studio,‎SR559‎,‎‎  ليلة,مضيف متميز,Bernal Heights · سان فرانسيسكو,4.82
106,Antique MachiyaHouse JR kyoto Toji,‎SR518‎,‎‎  ليلة,مضيف متميز,Minami-ku · 京都市南区,4.94
107,Unique 1 bedroom villa in Seminyak,‎SR326‎,‎‎  ليلة,مضيف متميز,بالي · كوتا,4.93
108,Historic and Elegant Suite in a Former Ryokan,‎SR619‎,‎‎  ليلة,مضيف متميز,Shimogyō-ku · كيوتو,4.89
109,Ocean Beachfront Luxury Design Villa @ Lovina,‎SR536‎,‎‎  ليلة,مضيف متميز,بالي · Lovina,4.91
110,UNIQUE SUMATRAN KARO HOUSE,‎SR308‎,‎‎  ليلة,,بالي · Kuta Utara,4.76
111,LUX 3 DBL BED SEMINYAK POOL VILLA + CINEMA,‎SR469‎,‎‎  ليلة,مضيف متميز,بالي · كوتا,4.86
112,Garden Retreat steps from Haight St,‎SR694‎,‎‎  ليلة,مضيف متميز,Haight-Ashbury · سان فرانسيسكو,4.82
113,Sakura River Inn 2 (licenced Machiya),‎SR518‎,‎‎  ليلة,مضيف متميز,Shimogyō-ku · 京都市,4.91
114,Ocean View Malibu Hideaway,"‎SR1,031‎",‎‎  ليلة,مضيف متميز,ماليبو,4.78
115,St Pierre/Magnifique Suite rue de la Merci,‎SR353‎,‎‎  ليلة,مضيف متميز,Hôtel de Ville - Quinconces · بوردو,4.76
116,Hidden Gem of Budapest City Centre,‎SR233‎,‎‎  ليلة,مضيف متميز,بيست · بودابست,4.97
117,Clérigos Room | Historic Centre,‎SR124‎,‎‎  ليلة,,بورتو,4.65
118,Apartment in the heart of Florence,‎SR293‎,‎‎  ليلة,مضيف متميز,Centro Storico · فلورنسا,4.89
119,PROMO -33%OFF Magic Trip Seminyak,‎SR409‎,‎‎  ليلة,مضيف متميز,بالي · كوتا,4.79
120,Stylish Spanish Mansion in Havana,‎SR338‎,‎‎  ليلة,مضيف متميز,Vedado Habana,4.88
121,#1Balinese Villa w/ Kitchenette and a Private Pool,‎SR386‎,‎‎  ليلة,مضيف متميز,"بالي · Ubud, Kabupaten Gianyar",4.90
122,Gorgeous Ubud view! Chic Private Villa 2 Bedrooms,‎SR506‎,‎‎  ليلة,مضيف متميز,بالي · أوبود,4.92
123,Urban Farmhouse at Curtis Park (30 Day minimum),‎SR544‎,‎‎  ليلة,مضيف متميز,فايف بوينتس · دنفر,4.97
124,J's APT 2 Bed Rooms + Free Portable Wi-Fi,‎SR476‎,‎‎  ليلة,مضيف متميز,مقاطعة كاتسوشيكا · Katsushika,4.90
125,Trendy 2BR villa- walk to beach and restaurants,‎SR713‎,‎‎  ليلة,مضيف متميز,بالي · Kuta Utara,4.73
126,Romantic Luxury Escape Seminyak,‎SR533‎,‎‎  ليلة,,بالي · كوتا,4.67
127,Twins Apartment in Center 4*,‎SR165‎,‎‎  ليلة,مضيف متميز,Varoš · سبليت(أَسْبَالَطو),4.90
128,Luxurious Condo near CN Tower with FREE PARKING,‎SR424‎,‎‎  ليلة,مضيف متميز,داون تاون تورونتو · تورونتو,4.80
129,2 Bed Room + 2 Toilets + Free Pocket Wi-Fi,‎SR450‎,‎‎  ليلة,مضيف متميز,مقاطعة كاتسوشيكا · Katsushika,4.93
130,Silver 4**** luxury apart in center,‎SR161‎,‎‎  ليلة,مضيف متميز,Varoš · سبليت(أَسْبَالَطو),4.86
131,Mouzinho 134 - Hist Center - Orange,‎SR293‎,‎‎  ليلة,مضيف متميز,بورتو,4.86
132,NewEarth Haven - Amethyst Crystal  Eco Dome,‎SR289‎,‎‎  ليلة,,بالي · أوبود,4.65
133,"Villa Leroy,  Tranquility of Rural Nature",‎SR334‎,‎‎  ليلة,مضيف متميز,بالي · أوبود,4.89
134,Colorful & Loving 420-friendly Denver Condo,‎SR405‎,‎‎  ليلة,مضيف متميز,واشنطن فرجينيا فيل · دنفر,4.95
135,Lovely flat*** Ste Catherine street,‎SR334‎,‎‎  ليلة,,Hôtel de Ville - Quinconces · بوردو,4.74
136,Sunny Home in Historic Curtis Park,‎SR371‎,‎‎  ليلة,مضيف متميز,فايف بوينتس · دنفر,4.87
137,Skylit Loft in Old Montreal,‎SR330‎,‎‎  ليلة,,مونتريال القديمة · مونتريال,4.78
138,Your private unique spacious  B&B & cooking class.,‎SR165‎,‎‎  ليلة,مضيف متميز,بالي · بوليلينغ,4.90
139,Manhattan Lux Loft.Like.Love.Lots.Look !,‎SR619‎,‎‎  ليلة,مضيف متميز,مانهاتن · نيويورك,4.95
140,"Luxury Apartment VOLAT, Downtown",‎SR248‎,‎‎  ليلة,مضيف متميز,Varoš · سبليت(أَسْبَالَطو),4.92
141,Cottage in the Heart of Ballard,‎SR206‎,‎‎  ليلة,مضيف متميز,بالارد · سياتل,4.86
142,Beautiful chalet in the sky of Ipanema Lagoa,‎SR338‎,‎‎  ليلة,,ايبانيما · Rio,4.85
143,Charming SF 1911 Studio,‎SR409‎,‎‎  ليلة,مضيف متميز,Richmond District · سان فرانسيسكو,4.79
144,Apartamento junto Gran Vía,‎SR270‎,‎‎  ليلة,مضيف متميز,Malasaña · مدريد,4.86
145,Colosseum Loft,‎SR281‎,‎‎  ليلة,مضيف متميز,روما سنترو · روما,4.81
146,Saul Zaik Treehouse!,‎SR784‎,‎‎  ليلة,مضيف متميز,ساوثهيلز هيلز · بورتلاند,4.89
147,Earthen Cob Cottage near large pond,‎SR169‎,‎‎  ليلة,مضيف متميز,ريتشموند · بورتلاند,4.85
148,BEST LOCATION AND VIEW!!!,‎SR353‎,‎‎  ليلة,,براغ 1 · براغ,4.74
149,Near Namba  TRADITIONAL house｢KORIN house｣,‎SR199‎,‎‎  ليلة,مضيف متميز,"Nishinari-ku · Nishinari-ku, Ōsaka-shi",4.89
150,"Bright, stylish room in city centre - free parking",‎SR188‎,‎‎  ليلة,مضيف متميز,ليث · إدنبره,4.91
151,Industrial Style Chicago Loft with FREE parking,‎SR225‎,‎‎  ليلة,مضيف متميز,إرفينغ بارك · شيكاغو,4.92
152,La Coccinella - studio in downtown,‎SR161‎,‎‎  ليلة,مضيف متميز,بيست · بودابست,4.87
153,Small house in Paris Center 5p,‎SR334‎,‎‎  ليلة,مضيف متميز,الدائرة الثانية في باريس · Paris-2E-Arrondissement,4.77
154,京町家 天の川   〔Maison à Kyoto Amanogawa〕,‎SR623‎,‎‎  ليلة,مضيف متميز,Higashiyama-ku · 京都,4.94
155,Designer Suite in Central Deco Icon,‎SR356‎,‎‎  ليلة,مضيف متميز,منطقة الأعمال المركزية · ملبورن,4.97
156,Garden Suite Efficiency,‎SR431‎,‎‎  ليلة,مضيف متميز,بلومينجدال · واشنطن,4.91
157,Split Center- Central point of Diocletians Palace,‎SR188‎,‎‎  ليلة,مضيف متميز,Grad · سبليت(أَسْبَالَطو),4.92
158,Shin-Osaka Nightingale on plum tree,‎SR191‎,‎‎  ليلة,مضيف متميز,Yodogawa-ku · 大阪市東淀川区東中島,4.85
159,Capitol Hill Garden Cottage *car rental available*,‎SR356‎,‎‎  ليلة,مضيف متميز,كابيتول هيل · سياتل,4.98
160,#8 4FREE bicycles cozy House Namba!,‎SR334‎,‎‎  ليلة,,Chūō-ku · أوساكا,4.68
161,Tuscan Apt in the heart of Florence,‎SR293‎,‎‎  ليلة,مضيف متميز,Centro Storico · فلورنسا,4.87
162,Heart of East Nashville Bungalow,‎SR668‎,‎‎  ليلة,مضيف متميز,ناشفيل,4.91
163,FreeBikes / WIFI /FullyEquippedKitchen / Central,‎SR248‎,‎‎  ليلة,مضيف متميز,بيست · بودابست,4.93
164,Curtis Park Charmer- blocks from RiNo,‎SR435‎,‎‎  ليلة,مضيف متميز,فايف بوينتس · دنفر,4.97
165,Bennu House - Most Elegant Design Villa in Ubud,‎SR375‎,‎‎  ليلة,مضيف متميز,بالي · ubud ,4.93
166,Private room in the center of city,‎SR83‎,‎‎  ليلة,مضيف متميز,بورتو,4.83
167,The Whitehouse - 1 bed Villa - Private Plunge Pool,‎SR180‎,‎‎  ليلة,مضيف متميز,بالي · سانور,4.89
168,Urban Oasis--Wicker Park Vintage,‎SR244‎,‎‎  ليلة,,القرية الأوكرانية · شيكاغو,4.77
169,1885 Victorian Suite,‎SR300‎,‎‎  ليلة,مضيف متميز,فايف بوينتس · دنفر,4.93
170,Centre Florence  charming apartment,‎SR495‎,‎‎  ليلة,مضيف متميز,Centro Storico · فلورنسا,4.76
171,Stunning home in central Tokyo,"‎SR3,454‎",‎‎  ليلة,مضيف متميز,حي ميناتو · ميناتو,4.92
172,Old Town Square Apt with Fireplace,‎SR293‎,‎‎  ليلة,مضيف متميز,براغ 1 · Prague 1,4.86
173,Sun Filled Photographic Hard Loft,‎SR596‎,‎‎  ليلة,مضيف متميز,داون تاون تورونتو · تورونتو,4.96
174,Cozy and charming cottage,‎SR375‎,‎‎  ليلة,مضيف متميز,منتزه بيسكاين بارك · Biscayne Park,4.90
175,The Brandy Bus - Renovated Bus in Quiet Paradise,‎SR319‎,‎‎  ليلة,مضيف متميز,نيروبي,4.89
176,The Artist's Experience,‎SR375‎,‎‎  ليلة,مضيف متميز,Hell's Kitchen · نيويورك,4.90
177,Montreal DREAMLOFT w/ PATIO & BBQ on the PLATEAU,‎SR308‎,‎‎  ليلة,مضيف متميز,Le Plateau · مونتريال,4.75
178,"Berlin-Mitte: Modern design, breakfast & balcony!",‎SR244‎,‎‎  ليلة,مضيف متميز,مته · برلين,4.90
179,The Roosevelt Suite - Garden Studio,‎SR338‎,‎‎  ليلة,مضيف متميز,القرية الصغيرة · شيكاغو,4.86
180,Urban Cottage-Own Bath-near UW & Park City View,‎SR218‎,‎‎  ليلة,مضيف متميز,والينجفورد · سياتل,4.85
181,Fabrica House downtown cozy WIFI,‎SR229‎,‎‎  ليلة,مضيف متميز,بورتو,4.79
182,garden loft apartment downtown Flo,‎SR664‎,‎‎  ليلة,,Centro Storico · فلورنسا,4.84
183,"Private Room, Downtown Toronto",‎SR308‎,‎‎  ليلة,مضيف متميز,داون تاون تورونتو · تورونتو,4.84
184,Sunscape apartment 2- Modern & cozy,‎SR161‎,‎‎  ليلة,مضيف متميز,Špinut · سبليت(أَسْبَالَطو),4.88
185,"GREAT VIEW -Guesthouse ""CASA 48""- Santa Teresa  #1",‎SR146‎,‎‎  ليلة,مضيف متميز,سانتا تيريزا · ريودي جانيرو,4.77
186,"Florence center, near Ponte Vecchio",‎SR165‎,‎‎  ليلة,,Santo Spirito-San Frediano · فلورنسا,4.66
187,Korean Traditional Hanok,‎SR675‎,‎‎  ليلة,مضيف متميز,Gwanghwamun/Gyeongbokgung · سيول,4.89
188,Artsy River Loft Near Downtown,‎SR416‎,‎‎  ليلة,,ديترويت,4.77
189,Stylish Downtown Cozy Room,‎SR113‎,‎‎  ليلة,,داون تاون تورونتو · تورونتو,4.63
190,2 Bedroom Best Location In CBD,‎SR383‎,‎‎  ليلة,,منطقة الأعمال المركزية · ملبورن,4.61
191,Rustic Tiny Home w Sleeping Loft in hip Woodlawn,‎SR221‎,‎‎  ليلة,,وودلاون · بورتلاند,4.68
192,Firenze Rentals Mini Corso 12,‎SR263‎,‎‎  ليلة,مضيف متميز,Centro Storico · فلورنسا,4.76
193,Chiado Loft 7 with Patio!,‎SR270‎,‎‎  ليلة,مضيف متميز,بايرو ألتو · لشبونة,4.87
194,Suite Tower Rialto,‎SR203‎,‎‎  ليلة,مضيف متميز,سان بولو · مدينة البندقية,4.93
195,Loft in the Heights,‎SR281‎,‎‎  ليلة,مضيف متميز,لوجان هايتس · سان دييغو,4.86
196,★CityCentre Penthouse.PrivateTerrace.25minAirport★,"‎SR1,444‎",‎‎  ليلة,مضيف متميز,كوبنهاغن,4.87
197,Venetian  loft with canal view!!,‎SR416‎,‎‎  ليلة,مضيف متميز,كاستيلو · مدينة البندقية,4.84
198,Studio Daisy: Villa with sun deck 5 min to centre,‎SR176‎,‎‎  ليلة,,Varoš · سبليت(أَسْبَالَطو),4.85
199,Casa rural mallorquina con piscina,‎SR375‎,‎‎  ليلة,,ماناكور,4.77
200,Romantic STUDIO with JACUZZI,‎SR375‎,‎‎  ليلة,,Prague 3 · براغ,4.62
201,Shinjuku! Free Wi-Fi + Good Location + Clean Room!,‎SR221‎,‎‎  ليلة,,منطقة شينجوكو · Shinjuku City,4.81
202,Cosy Room  Paris Center in the Marais,‎SR334‎,‎‎  ليلة,مضيف متميز,الدائرة الرابعة · باريس,4.85
203,Small cocoon,‎SR64‎,‎‎  ليلة,مضيف متميز,Prague 3 · براغ,4.90
204,"""The Constant Gardener"" movie home single bedroom",‎SR199‎,‎‎  ليلة,,نيروبي,4.83
205,"Ada's House, an romantic weekend with Jacuzzi",‎SR206‎,‎‎  ليلة,,سكانديتشي,4.86
206,"""La Paige"" Cute Apt Great location!",‎SR124‎,‎‎  ليلة,,Le Plateau · مونتريال,4.67
207,Designer Retreat in the Heart of Mebourne,‎SR251‎,‎‎  ليلة,مضيف متميز,منطقة الأعمال المركزية · ملبورن,4.90
208,Gastown/Railtown Loft in Vancouver,‎SR311‎,‎‎  ليلة,مضيف متميز,داونتاون إيستسايد · فانكوفر,4.95
209,｢柒月·影吧｣静安寺复式洋房 Loft — 电影放映厅,‎SR281‎,‎‎  ليلة,مضيف متميز,Jing'an · شنغهاي,4.77
210,Unique Oval Georgian Studio Gr. Fl.,‎SR375‎,‎‎  ليلة,مضيف متميز,نورث سيتي سينترال/أوكونيل ستريت · دوبلن,4.83
211,Design loft @Navigli - Porta Ticinese - Bocconi,‎SR334‎,‎‎  ليلة,مضيف متميز,Zona 5 · ميلان,4.86
212,B&B  and Italian Cookery school,‎SR293‎,‎‎  ليلة,مضيف متميز,La Felce,4.91
213,Private King Studio w/fireplace in great location!,‎SR251‎,‎‎  ليلة,مضيف متميز,إيرفنجتون · بورتلاند,4.75
214,Spacious 1 BR in hip cool NEPO,‎SR270‎,‎‎  ليلة,,كنغ · بورتلاند,4.61
215,"SANGLUNG VILLA, PRIVATE POOL.",‎SR484‎,‎‎  ليلة,مضيف متميز,بالي · Singaraja,4.85
216,Contemporary Studio,‎SR465‎,‎‎  ليلة,مضيف متميز,حديقة الحيوانات · برلين,4.91
217,Calm House near Shinjuku/Shibuya #301,‎SR206‎,‎‎  ليلة,مضيف متميز,منطقة شيبويا · Shibuya-ku,4.85
218,Penthouse room on the seafront in Edinburgh,‎SR176‎,‎‎  ليلة,مضيف متميز,إدنبره,4.94
219,High Floor | Balcony | Fast WiFi | ❤️ of Downtown,‎SR296‎,‎‎  ليلة,مضيف متميز,داون تاون تورونتو · تورونتو,4.85
220,The Muse Haus II - Balcony Room,‎SR296‎,‎‎  ليلة,,لندن بوروغ من هامرسميث وفولهام · لندن,4.71
221,Penthouse with terrace in downtown,‎SR375‎,‎‎  ليلة,مضيف متميز,Malasaña · مدريد,4.87
222,Stunning Guest House w/Loft: Restaurants & Shops!,‎SR300‎,‎‎  ليلة,مضيف متميز,ريتشموند · بورتلاند,4.96
223,Two Story Spanish Style Guest House,‎SR334‎,‎‎  ليلة,مضيف متميز,نورث بارك · سان دييغو,4.91
224,Large Studio in Ognissanti Palace ,‎SR150‎,‎‎  ليلة,,Centro Storico · فلورنسا,4.78
225,Upscale Private Ensuite Bed & Bath,‎SR521‎,‎‎  ليلة,مضيف متميز,Pacific Heights · سان فرانسيسكو,4.94
226,TORONTO’s Airbnb unit of the year.,‎SR240‎,‎‎  ليلة,,داون تاون تورونتو · تورونتو,4.67
227,The Villa,‎SR439‎,‎‎  ليلة,مضيف متميز,ناشفيل,4.95
